email_id,subject,message,classification,expected_behavior
E048,Gifts for daughters,"Hi, I'm shopping for my daughters. One wants a party dress and the other needs a work bag. What would you recommend for the best value?",inquiry,"Should recommend appropriate items and mention relevant promotions for both needs"
E049,Heard about canvas bags,"Someone at work mentioned you have great canvas bags with some kind of deal going on. Could you tell me more about your bag selection?",inquiry,"Should identify beach bag promotion and explain CBG9876 BOGO offer"
E050,Flannel vest sizing,"Hi, I'm interested in the plaid flannel vest PLV8765. What sizes do you have and does it coordinate with anything else you sell?",inquiry,"Should provide sizing info and mention the matching shirt bundle option"
E051,Bomber jacket for gift,"Hello, I want to buy the bomber jacket BMX5432 as a gift. What exactly do I get with the purchase?",order,"Should process order and explain the free beanie included with purchase"
E052,Knit dress sizes,"Hi, I love the knit mini dress KMN3210. What sizes are available? I might need more than one.",inquiry,"Should provide sizing and mention the buy-2-get-1 promotion"
E053,Quilted bag for mother,"Good afternoon, I'm looking for a nice quilted tote bag as a gift for my mother. What's your best option?",inquiry,"Should recommend QTP5432 quilted tote and mention the current 25% off promotion"
E054,Tailored blazer only,"Hi, I just need a blazer for work. Do you sell individual pieces or only complete suits? I'm looking at the TLR5432.",inquiry,"Should explain that TLR5432 is actually a better value as complete suit due to bundle pricing"
E055,Party dress emergency,"Help! I need a dress for a party this weekend. Something fun but not too formal. What do you have available quickly?",order,"Should identify suitable dress options and mention any current promotions"
E056,Beach vacation shopping,"Hi! Planning a beach vacation and need bags. My friend said you have the best selection. What would you recommend for a family of 4?",inquiry,"Should recommend CBG9876 beach bags and explain BOGO promotion for multiple bags"
E057,Plaid shirt standalone,"Hello, I saw a plaid shirt mentioned somewhere - PLD9876 I think? Can I buy just the shirt or does it come with something else?",inquiry,"Should explain the shirt is part of a bundle with PLV8765 vest for better value"
E058,Floral print options,"Hi, I'm looking for dresses with floral prints. What options do you have and what are the current prices?",inquiry,"Should show floral dress options including FLD9876 with its 20% off promotion"
E059,Beanie and jacket question,"Good morning, I need a warm jacket and a beanie. Do you sell them separately or together? Looking at the BMX5432 jacket.",inquiry,"Should explain that BMX5432 comes with free matching beanie"
E060,Best dress deals,"Hi, what are your best deals on dresses right now? I'm looking for casual and party options.",inquiry,"Should explain available dress promotions including FLD9876 and KMN3210 offers"
