product_id,name,category,description,stock,seasons,price
CPT1098,Camo Print Tee,Women's Clothing,"Embrace the military-inspired trend with our camo print tee. This casual t-shirt features a bold camo print and is crafted from soft, breathable cotton. A laidback choice for running errands, weekend wear, or layering under a jacket.",2,"Spring, Summer, Fall",47
OVR3210,Overalls Jumpsuit,Women's Clothing,"Channel your inner cool-girl vibe with our overalls jumpsuit. This trendy one-piece features a relaxed, oversized fit and adjustable straps for a customized look. A versatile choice for casual outings, festivals, or weekend wear.",6,"Spring, Summer, Fall",55.99
BTN7654,Button-Front Skirt,Women's Clothing,Add a touch of retro charm to your look with our button-front skirt. This midi-length skirt features a flattering A-line silhouette and a row of buttons down the front. A versatile choice for dressing up or down.,4,"Spring, Summer, Fall",71.99
CLR1098,Colorblock Raincoat,Women's Clothing,"Brighten up rainy days with our colorblock raincoat. This water-resistant coat features a bold colorblock design and a flattering, belted silhouette. A stylish and practical choice for unpredictable weather.",7,"Spring, Fall",52
LTH6789,Leather Moto Jacket,Women's Clothing,Channel your inner rebel with our leather moto jacket. This edgy jacket is crafted from buttery soft leather and features a classic moto silhouette with zippered details. An iconic piece that instantly elevates any outfit.,2,"Fall, Winter, Spring",72
SKT4567,Satin Skirt,Women's Clothing,"Indulge in luxury with our satin skirt. This elegant skirt features a lustrous satin fabric and a flattering, bias-cut silhouette. A sophisticated choice for date nights, cocktail parties, or dressing up any ensemble. Hurry, limited stock!",1,All seasons,94.99
DTD0123,Denim Trucker Jacket,Women's Clothing,"A timeless staple, our denim trucker jacket is a must-have for any fashion-forward wardrobe. Crafted from sturdy denim, this jacket features a classic trucker silhouette with button-front closure. Layer it over dresses or pair it with jeans for a cool, casual look.",3,"Spring, Fall",79
LGG4567,Faux Leather Leggings,Women's Clothing,"Elevate your athleisure game with our faux leather leggings. These sleek leggings feature a ultra-soft faux leather construction and a flattering, stretchy fit. Perfect for dressing up or down and achieving an edgy, fashion-forward look.",2,"Fall, Winter",71
CLR6789,Colorblock Sweater,Women's Clothing,"Make a bold statement with our colorblock sweater. This eye-catching knit features a vibrant colorblock design and a relaxed, oversized silhouette. A standout piece for adding a pop of color to your cold-weather wardrobe.",1,"Fall, Winter",92
VNL8901,Vinyl Trench Coat,Women's Clothing,"Make a statement in our vinyl trench coat. This modern take on a classic features a sleek vinyl construction and a flattering, belted silhouette. A head-turning choice for rainy days or adding an edgy touch to any outfit.",2,"Spring, Fall",72
FZF0123,Fuzzy Fleece Jacket,Women's Clothing,"Cozy up in our fuzzy fleece jacket. This ultra-soft jacket features a plush, sherpa-like fleece construction and a relaxed, oversized fit. Perfect for lounging at home or running errands on chilly days.",2,"Fall, Winter",86
CGN2345,Cargo Pants,Women's Clothing,"Functionality meets style in our cargo pants. These utilitarian-inspired pants feature multiple pockets and a relaxed, straight-leg fit. Perfect for outdoor adventures, travel, or adding a touch of edge to your casual looks.",2,"Spring, Summer, Fall",80
PWD6543,Puffer Parka,Women's Clothing,"Stay toasty all winter long in our puffer parka. This heavyweight jacket features a water-resistant outer shell, cozy down insulation, and a faux-fur trimmed hood for added warmth. An essential for braving the cold in style.",8,Winter,38
SWT8765,Sweater Dress,Women's Clothing,"Cozy meets chic in our sweater dress. This sweater-knit dress features a form-fitting silhouette and a trendy, midi length. Layer it over tights or leggings for a polished yet comfortable winter look.",6,Winter,63
FZV1098,Fuzzy Vest,Women's Clothing,"Snuggle up in our fuzzy vest. This ultra-cozy vest features a plush, sherpa-like fleece construction and a relaxed, oversized fit. Perfect for layering over sweaters or adding a touch of warmth to any winter outfit.",4,Winter,58
QTD5432,Quilted Down Coat,Women's Clothing,"Brave the cold in style with our quilted down coat. This heavyweight coat features a water-resistant outer shell, cozy down insulation, and a flattering, belted silhouette. A fashion-forward choice for staying warm all winter long.",4,Winter,60
FLC7654,Fleece-Lined Leggings,Women's Clothing,"Stay warm and comfortable all winter long in our fleece-lined leggings. These stretchy leggings feature a soft, brushed interior for added warmth and a sleek, opaque outer layer. Perfect for layering under dresses, tunics, or wearing on their own.",7,Winter,63
LDR3210,Lined Dress Coat,Women's Clothing,"Elevate your winter wardrobe with our lined dress coat. This elegant coat features a wool-blend outer shell, a cozy quilted lining, and a flattering, belted silhouette. A sophisticated choice for staying warm and stylish all season long.",3,Winter,67.99
WTL1098,Wool Trench Coat,Women's Clothing,"Brave the elements in style with our wool trench coat. This classic coat features a warm wool-blend construction, a water-resistant outer shell, and a flattering, belted silhouette. A timeless and sophisticated choice for cold, rainy days.",2,Winter,72
SCS9876,Sweater Coat,Women's Clothing,"Bundle up in warmth and style with our sweater coat. This cozy coat features a soft, sweater-knit construction and a flattering, belted silhouette. Perfect for layering over dresses, leggings, or jeans on chilly winter days.",3,Winter,56
SSN8901,Stylish Sneakers,Women's Shoes,"Step out in style with our trendy sneakers. Combining comfort and fashion, these sneakers feature a sleek design and cushioned soles. Perfect for running errands or casual outings.",6,"Spring, Summer, Fall",30
MSL1098,Metallic Slingbacks,Women's Shoes,Add a touch of glamour to your evening ensemble with our metallic slingbacks. These stylish heels feature a shimmering metallic finish and a comfortable slingback design. Perfect for dancing the night away or making a statement at a formal event.,6,All seasons,51
SND7654,Strappy Sandals,Women's Shoes,"Step into summer with our strappy sandals. These open-toe sandals feature a trendy, strappy design and a comfortable, cushioned footbed. Perfect for beach days, outdoor events, or casual weekend wear.",8,"Spring, Summer",27
CHK8901,Chunky Sneakers,Women's Shoes,"Step into trendy style with our chunky sneakers. These statement sneakers feature a bold, chunky sole and a sleek leather or knit upper. A must-have for fashion-savvy individuals who appreciate both style and comfort. Only a few pairs left!",1,"Spring, Fall",42
MLR0123,Mule Loafers,Women's Shoes,"Slip into effortless style with our mule loafers. These sleek slip-on shoes feature a classic loafer silhouette and a trendy mule design. A chic and comfortable choice for the office, running errands, or weekend brunch.",2,"Spring, Fall",47
CLG4567,Clog Sandals,Women's Shoes,"Step into retro-inspired style with our clog sandals. These open-toe sandals feature a classic clog silhouette and a sturdy, wooden sole. A trendy and comfortable choice for casual outings or weekend wear.",3,"Spring, Summer",48
SNB4321,Snow Boots,Women's Shoes,"Brave the elements in our durable snow boots. These waterproof boots feature a rugged, lug sole for traction, a cozy fleece lining, and a water-resistant outer shell. A must-have for outdoor adventures or navigating snowy conditions.",5,Winter,41
